Installed Packages
1password.x86_64                                         8.9.14-1                             @1password                
desktop-backgrounds-gnome.noarch                         36.0.0-10.fc36                       @nobara-baseos            
desktop-file-utils.x86_64                                0.26-6.fc36                          @anaconda                 
device-mapper.x86_64                                     1.02.175-7.fc36                      @anaconda                 
device-mapper-event.x86_64                               1.02.175-7.fc36                      @anaconda                 
device-mapper-event-libs.x86_64                          1.02.175-7.fc36                      @anaconda                 
device-mapper-libs.x86_64                                1.02.175-7.fc36                      @anaconda                 
device-mapper-multipath-libs.x86_64                      0.8.7-9.fc36                         @updates                  
device-mapper-persistent-data.x86_64                     0.9.0-7.fc36                         @anaconda                 
devscripts-checkbashisms.x86_64                          2.22.1-1.fc36                        @anaconda                 
dhcp-client.x86_64                                       12:4.4.3-4.P1.fc36                   @updates                  
dhcp-common.noarch                                       12:4.4.3-4.P1.fc36                   @updates                  
diffutils.x86_64                                         3.8-2.fc36                           @anaconda                 
discord.x86_64                                           0.0.22-1.fc36                        @nobara-appstream         
distribution-gpg-keys.noarch                             1.81-1.fc36                          @updates                  
djvulibre-libs.x86_64                                    3.5.28-2.fc36                        @anaconda                 
dleyna-connector-dbus.x86_64                             0.3.0-12.fc36                        @anaconda                 
dleyna-core.x86_64                                       0.6.0-13.fc36                        @anaconda                 
dleyna-renderer.x86_64                                   0.6.0-14.fc36                        @anaconda                 
dleyna-server.x86_64                                     0.6.0-13.fc36                        @anaconda                 
dmidecode.x86_64                                         1:3.3-3.fc36                         @anaconda                 
dmraid.x86_64                                            1.0.0.rc16-52.fc36                   @anaconda                 
dmraid-events.x86_64                                     1.0.0.rc16-52.fc36                   @anaconda                 
dmraid-libs.x86_64                                       1.0.0.rc16-52.fc36                   @anaconda                 
dnf.noarch                                               4.14.0-2.fc36                        @nobara-baseos            
dnf-data.noarch                                          4.14.0-2.fc36                        @nobara-baseos            
dnf-plugins-core.noarch                                  4.3.1-2.fc36                         @nobara-baseos            
dnf-utils.noarch                                         4.3.1-2.fc36                         @nobara-baseos            
dnfdaemon.noarch                                         0.3.21-0.1.git20220916.fc36          @nobara-baseos            
dnfdaemon-selinux.noarch                                 0.3.21-0.1.git20220916.fc36          @nobara-baseos            
dnsmasq.x86_64                                           2.86-10.fc36                         @fedora-updates           
dos2unix.x86_64                                          7.4.2-4.fc36                         @anaconda                 
dosfstools.x86_64                                        4.2-3.fc36                           @anaconda                 
dotconf.x86_64                                           1.3-28.fc36                          @anaconda                 
double-conversion.x86_64                                 3.1.5-6.fc36                         @anaconda                 
dracut.x86_64                                            057-3.fc36                           @fedora-updates           
dracut-config-rescue.x86_64                              057-3.fc36                           @fedora-updates           
dracut-live.x86_64                                       057-3.fc36                           @fedora-updates           
dracut-network.x86_64                                    057-3.fc36                           @fedora-updates           
dracut-squash.x86_64                                     057-3.fc36                           @fedora-updates           
drpm.x86_64                                              0.5.1-1.fc36                         @anaconda                 
dwz.x86_64                                               0.14-4.fc36                          @fedora-updates           
e2fsprogs.x86_64                                         1.46.5-2.fc36                        @anaconda                 
e2fsprogs-libs.x86_64                                    1.46.5-2.fc36                        @anaconda                 
ed.x86_64                                                1.14.2-12.fc36                       @anaconda                 
edk2-ovmf.noarch                                         20221117gitfff6d81270b5-9.fc36       @updates                  
efi-filesystem.noarch                                    5-5.fc36                             @anaconda                 
efi-srpm-macros.noarch                                   5-5.fc36                             @anaconda                 
efibootmgr.x86_64                                        16-12.fc36                           @anaconda                 
efivar-libs.x86_64                                       38-6.fc36                            @updates                  
egl-gbm.x86_64                                           1.1.0-2.fc36                         @anaconda                 
egl-wayland.x86_64                                       1.1.11-1.fc36                        @fedora-updates           
elfutils.x86_64                                          0.188-3.fc36                         @updates                  
elfutils-debuginfod-client.i686                          0.188-3.fc36                         @updates                  
elfutils-debuginfod-client.x86_64                        0.188-3.fc36                         @updates                  
elfutils-default-yama-scope.noarch                       0.188-3.fc36                         @updates                  
elfutils-libelf.i686                                     0.188-3.fc36                         @updates                  
elfutils-libelf.x86_64                                   0.188-3.fc36                         @updates                  
elfutils-libelf-devel.x86_64                             0.188-3.fc36                         @updates                  
elfutils-libs.i686                                       0.188-3.fc36                         @updates                  
elfutils-libs.x86_64                                     0.188-3.fc36                         @updates                  
emacs-filesystem.noarch                                  1:28.2-1.fc36                        @updates                  
enchant.x86_64                                           1:1.6.0-30.fc36                      @anaconda                 
enchant2.x86_64                                          2.3.2-5.fc36                         @anaconda                 
eog.x86_64                                               42.3-1.fc36                          @fedora-updates           
espeak-ng.x86_64                                         1.50-7.fc36                          @anaconda                 
ethtool.x86_64                                           2:6.1-1.fc36                         @updates                  
evince.x86_64                                            42.4-1.fc36                          @updates                  
evince-djvu.x86_64                                       42.4-1.fc36                          @updates                  
evince-libs.x86_64                                       42.4-1.fc36                          @updates                  
evince-nautilus.x86_64                                   42.4-1.fc36                          @updates                  
evince-previewer.x86_64                                  42.4-1.fc36                          @updates                  
evince-thumbnailer.x86_64                                42.4-1.fc36                          @updates                  
evolution-data-server.x86_64                             3.44.4-2.fc36                        @updates                  
evolution-data-server-langpacks.noarch                   3.44.4-2.fc36                        @updates                  
exempi.x86_64                                            2.6.0-0.2.20211007gite23c213.fc36    @anaconda                 
exfatprogs.x86_64                                        1.2.0-1.fc36                         @updates                  
exiv2.x86_64                                             0.27.5-2.fc36                        @anaconda                 
exiv2-libs.x86_64                                        0.27.5-2.fc36                        @anaconda                 
expat.i686                                               2.5.0-1.fc36                         @updates                  
expat.x86_64                                             2.5.0-1.fc36                         @updates                  
faad2-libs.i686                                          1:2.10.1-1.fc36                      @rpmfusion-free-updates   
faad2-libs.x86_64                                        1:2.10.1-1.fc36                      @rpmfusion-free-updates   
fakeroot.x86_64                                          1.30.1-1.fc36                        @updates                  
fakeroot-libs.x86_64                                     1.30.1-1.fc36                        @updates                  
fdk-aac-free.i686                                        2.0.0-8.fc36                         @anaconda                 
fdk-aac-free.x86_64                                      2.0.0-8.fc36                         @anaconda                 
